Data de Emissão;Data de Lançamento;Fornecedor;Descrição Material;Qtde.;Unidade;Preço Unitário (R$);Acréscimo (R$);Desconto (R$);Total (R$);Grupo do Material
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Abobrinha italiana;5,00;KG    ;4,50;0,00;0,00;22,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Abobrinha italiana;8,00;KG    ;4,50;0,00;0,00;36,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Aneto / dill;2,00;UN    ;2,25;0,00;0,00;4,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Manjericao;1,00;MC    ;2,75;0,00;0,00;2,75;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Ovo Branco Extra;1,00;CX    ;145,00;0,00;0,00;145,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Batata baroa;10,00;KG    ;8,75;0,00;0,00;87,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Beterraba;3,00;KG    ;4,50;0,00;0,00;13,50;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;2,00;KG    ;4,50;0,00;0,00;9,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;8,00;KG    ;4,50;0,00;0,00;36,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Tomate salada;7,00;KG    ;8,75;0,00;0,00;61,25;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Manga;7,00;KG    ;7,00;0,00;0,00;49,00;Hortifruti
01/01/2024;03/01/2024;REZENDE E KONCIKOSKI COMERCIO ATACADISTA;Lagarto redondo;25,16;KG    ;25,30;0,00;0,00;636,55;Proteinas
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Mamao Formosa;2,00;UN    ;11,00;0,00;0,00;22,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Uva verde thompson;2,00;CX    ;19,50;0,00;0,00;39,00;Hortifruti
01/01/2024;02/01/2024;UMEHARA ALIMENTOS LTDA;Melao Amarelo ;2,00;KG    ;15,00;0,00;0,00;30,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Melao Amarelo ;2,00;KG    ;15,00;0,00;0,00;30,00;Hortifruti
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Geleia Frutas vermel;5,00;UN    ;37,95;0,00;0,00;189,75;Secos
02/01/2024;03/01/2024;CDI BARRA PRODUTOS IMP E EXP LTDA;Geleia Damasco;4,00;UN    ;47,90;0,00;0,00;191,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Leite Int Elege;10,00;CX    ;41,40;0,00;0,00;414,00;Laticinos
02/01/2024;04/01/2024;C.R.C DISTRIBUIDORA DE BEBIDAS E ALIMENT;Baer Mate;8,00;CX    ;33,96;0,00;0,00;271,64;Aguas e Chas
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Banana prata;2,00;DZ    ;8,99;0,00;0,00;17,98;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Mamao papaya ;5,00;KG    ;6,00;0,00;0,00;30,00;Hortifruti
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Maionese producao;4,00;UN    ;31,90;0,00;0,00;127,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Granola crocante pro;1,00;UN    ;7,67;0,00;0,00;7,67;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Requeijao elege trad;1,00;CX    ;144,43;0,00;0,00;144,43;Laticinos
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Laranja ;4,00;SC    ;51,00;0,00;0,00;204,00;Hortifruti
02/01/2024;04/01/2024;LATICINIOS MADRE DE DEUS DE MINAS LTDA;Q MINAS PAD MADRE DE;8,70;KG    ;50,70;0,00;0,00;441,09;Embalados
02/01/2024;04/01/2024;LATICINIOS MADRE DE DEUS DE MINAS LTDA;Q MINAS FRES MADRE D;12,90;KG    ;41,80;0,00;0,00;539,22;Embalados
02/01/2024;03/01/2024;Coca cola;Energe Monster 473ml;6,00;CX    ;7,35;0,26;0,00;44,10;Refrigerantes
02/01/2024;03/01/2024;CASA DOS QUEIJOS;manteiga c/sal blc;10,00;UN    ;41,85;0,00;0,00;418,50;Refrigerados
02/01/2024;05/01/2024;FESTPAN ALIMENTOS IMP E EXP LTDA;Antimofo p/ paes;1,00;CX    ;37,60;0,00;0,00;37,60;Secos
02/01/2024;03/01/2024;IGUARIAS ARTESANAIS INDUSTRIA E COMERCIO;pate de figado de av;10,00;UN    ;14,58;0,00;0,00;145,80;Hotisserie
02/01/2024;03/01/2024;IGUARIAS ARTESANAIS INDUSTRIA E COMERCIO;pate de figado com p;10,00;UN    ;14,58;0,00;0,00;145,80;Embalados
02/01/2024;03/01/2024;Coca cola;Coca Cola Lata;120,00;FD    ;3,03;2,42;0,00;363,94;Refrigerantes
02/01/2024;03/01/2024;Coca cola;Coca Cola Lata;120,00;FD    ;3,04;2,42;0,00;364,97;Refrigerantes
02/01/2024;02/01/2024;ELMARGEN COM. PRODUTOS ALIM. LTDA EIRELI;Mistura Pao It;1,00;SC    ;152,90;0,00;0,00;152,90;Secos
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;ling min berna aper;5,00;KG    ;12,65;0,00;0,00;63,25;Embalados
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Carne Moida;20,00;CX    ;25,90;0,00;0,00;518,00;Proteinas
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;Salsicha viena berna;5,00;KG    ;13,35;0,00;0,00;66,75;Embalados
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Banana Dgua;8,00;DZ    ;4,75;0,00;0,00;38,00;Hortifruti
02/01/2024;03/01/2024;CASA DOS QUEIJOS;Queijo Gorgonzalo Pr;5,62;KG    ;52,80;0,00;0,00;296,52;Refrigerados
02/01/2024;03/01/2024;R2 INDUSTRIA E COMERCIO DE LATICINIOS LT;Queijo prato bola;24,00;KG    ;39,00;0,00;0,00;936,00;Granel
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Queijo Mussarela Pro;8,50;KG    ;19,80;0,00;0,00;168,30;Proteinas
02/01/2024;03/01/2024;LATICINIOS PORTO ALEGRE IND E COM S/A;Creme leite fresc Pr;12,00;UN    ;75,28;0,00;0,00;903,36;Refrigerados
02/01/2024;03/01/2024;LATICINIOS PORTO ALEGRE IND E COM S/A;Queijo Minas Padrao Coalhadas;4,52;KG    ;45,15;0,00;0,00;203,85;Granel
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Amaciante Pra Carne;2,00;UN    ;16,50;0,00;0,00;33,00;Secos
02/01/2024;04/01/2024;C.R.C DISTRIBUIDORA DE BEBIDAS E ALIMENT;Baer Matcha 350ml;2,00;UN    ;39,58;0,00;0,00;79,15;Sucos Embalados
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Queijo ralado president;1,00;CX    ;86,00;0,00;0,00;86,00;Diversos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;farinha panco;1,00;UN    ;14,85;0,00;0,00;14,85;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Pipoca Yoki mic sabores;1,00;UN    ;108,99;0,00;0,00;108,99;Diversos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Pipoca Yoki mic sabores;1,00;UN    ;108,99;0,00;0,00;108,99;Diversos
02/01/2024;03/01/2024;Coca cola;Ice Tea Limão 300;24,00;FD    ;2,78;0,45;0,00;66,78;Aguas e Chas
02/01/2024;06/01/2024;TUDO LEGAL INDUSTRIA E COMERCIO LTDA; laranja coco legal;4,00;FD    ;2,50;0,00;0,00;10,00;Sucos Embalados
02/01/2024;03/01/2024;CASA DOS QUEIJOS;Manteiga sem sal blc;20,00;CX    ;41,85;0,00;0,00;837,00;Refrigerados
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Drumet de frango;20,00;KG    ;9,89;0,00;0,00;197,80;Proteinas
02/01/2024;05/01/2024;FESTPAN ALIMENTOS IMP E EXP LTDA;Essencia de baunilha;2,00;UN    ;8,00;0,00;0,00;15,99;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Goiabada bloco;1,00;UN    ;68,05;0,00;0,00;68,05;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Peito de frango;6,00;KG    ;173,16;0,00;0,00;1.038,96;Proteinas
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Acucar mascavo sache;1,00;CX    ;29,50;0,00;0,00;29,50;uso e consumo
02/01/2024;09/01/2024;P.R.NETTO INDUSTRIA E COMERCIO DE ALIMEN;Gemas Pasteurizadas;12,00;CX    ;30,18;0,00;0,00;362,15;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Feijao mulatinho;8,00;KG    ;5,94;0,00;0,00;47,50;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Grao de bico;6,00;KG    ;9,03;0,00;0,00;54,15;Secos
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Manga;5,00;KG    ;7,00;0,00;0,00;35,00;Hortifruti
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);biscoito Maizena Pro;1,00;UN    ;124,49;0,00;0,00;124,49;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Acem;10,00;KG    ;18,30;0,00;0,00;183,00;Refrigerados
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Catchup Producao;2,00;BB    ;22,25;0,00;0,00;44,50;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Milho lata;2,00;UN    ;86,16;0,00;0,00;172,32;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Mostarda Amarela Pro;1,00;UN    ;23,60;0,00;0,00;23,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Feijao vermelho;5,00;UN    ;5,94;0,00;0,00;29,69;Secos
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Tomate salada;6,00;KG    ;7,75;0,00;0,00;46,50;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Tomate salada;3,00;KG    ;7,75;0,00;0,00;23,25;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Limao taiti;3,00;SC    ;2,99;0,00;0,00;8,97;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Limao taiti;2,00;SC    ;2,99;0,00;0,00;5,98;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Maca verde;0,50;KG    ;14,00;0,00;0,00;7,00;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Pimentao amarelo;4,00;KG    ;19,90;0,00;0,00;79,60;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Pimentao verde;1,00;KG    ;5,90;0,00;0,00;5,90;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Pimentao vermelho;4,00;KG    ;19,90;0,00;0,00;79,60;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Tomate cereja;8,00;BJ    ;4,50;0,00;0,00;36,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;6,00;KG    ;5,50;0,00;0,00;33,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;3,00;KG    ;5,50;0,00;0,00;16,50;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;3,00;KG    ;5,50;0,00;0,00;16,50;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Beterraba;5,00;KG    ;2,75;0,00;0,00;13,75;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Cebola roxa;2,00;KG    ;7,90;0,00;0,00;15,80;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Ovo Branco Extra;1,00;CX    ;135,00;0,00;0,00;135,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Manjericao;2,00;MC    ;2,85;0,00;0,00;5,70;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Hortela;3,00;MC    ;1,49;0,00;0,00;4,47;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Couve flor;5,00;UN    ;8,20;0,00;0,00;41,00;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Brocolis americano;10,00;UN    ;7,99;0,00;0,00;79,90;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Rucula;15,00;MC    ;2,25;0,00;0,00;33,75;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Rucula;6,00;MC    ;2,25;0,00;0,00;13,50;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Salsa lisa;2,00;MC    ;3,49;0,00;0,00;6,98;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Alho poro;10,00;KG    ;2,50;0,00;0,00;25,00;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Alface americana;30,00;UN    ;2,99;0,00;0,00;89,70;Hortifruti
02/01/2024;03/01/2024;Hortifruti Genesis Ltda;Alface crespa;10,00;UN    ;2,10;0,00;0,00;21,00;Hortifruti
02/01/2024;03/01/2024;UMEHARA ALIMENTOS LTDA;Abobrinha italiana;3,00;KG    ;2,95;0,00;0,00;8,85;Hortifruti
02/01/2024;05/01/2024;FESTPAN ALIMENTOS IMP E EXP LTDA;Acucar Glacucar;60,00;UN    ;3,65;0,00;0,00;218,73;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Acucar refinado;5,00;FD    ;39,50;0,00;0,00;197,50;Secos
02/01/2024;03/01/2024;CDI BARRA PRODUTOS IMP E EXP LTDA;tabasco original 60m;8,00;UN    ;16,62;0,00;0,00;132,96;Azeites e molhos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);atum solido 170g;1,00;CX    ;142,21;0,00;0,00;142,21;Diversos
02/01/2024;03/01/2024;Coca cola;Coca Cola 2l;48,00;FD    ;7,26;2,22;0,00;348,38;Refrigerantes
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Nutella 140g;2,00;CX    ;76,86;0,00;0,00;153,72;Diversos
02/01/2024;03/01/2024;CASA DOS QUEIJOS;Brie Forma São Vicente;3,60;UN    ;60,91;0,00;0,00;219,09;Embalados
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Acucar Refinado uniao 1kg;1,00;FD    ;44,50;0,00;0,00;44,50;Diversos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Requei lgtelege 200g;1,00;UN    ;158,75;0,00;0,00;158,75;Laticinos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);manteiga itambe 200g;1,00;UN    ;223,42;0,00;0,00;223,42;Laticinos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);toddynho 200ml;1,00;CX    ;57,24;0,00;0,00;57,24;Sucos Embalados
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;salsich frank furter;5,00;KG    ;13,85;0,00;0,00;69,25;Embalados
02/01/2024;03/01/2024;Coca cola;mate leao limao 300m;84,00;FD    ;2,78;1,57;0,00;233,73;Aguas e Chas
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;salsicha swiss dog k;5,00;KG    ;16,40;0,00;0,00;82,00;Embalados
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;mix de sal e limg;5,00;KG    ;12,30;0,00;0,00;61,50;Embalados
02/01/2024;03/01/2024;Coca cola;Mate Leao Zero 300;84,00;FD    ;2,77;1,57;0,00;232,40;Aguas e Chas
02/01/2024;04/01/2024;BRASALIMENT IND E COM DE CARNES LTDA;sals vitela berna;5,00;UN    ;12,00;0,00;0,00;60,00;Embalados
02/01/2024;03/01/2024;Coca cola;Fanta uva 350;24,00;FD    ;2,67;0,43;0,00;63,97;Refrigerantes
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Arroz branco;1,00;FD    ;202,55;0,00;0,00;202,55;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Arroz integral;4,00;FD    ;6,11;0,00;0,00;24,45;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Feijao preto;1,00;FD    ;81,90;0,00;0,00;81,90;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Feijao branco;6,00;UN    ;6,51;0,00;0,00;39,05;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Lentilha;8,00;UN    ;6,56;0,00;0,00;52,44;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Farin mand crua;8,00;FD    ;5,94;0,00;0,00;47,50;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Farin mand crua;2,00;FD    ;4,66;0,00;0,00;9,31;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Azeite oliva andorin;4,00;CX    ;242,40;0,00;0,00;969,60;Secos
02/01/2024;03/01/2024;Supermercados unidos (pai da luiza);Massa espaguete;5,00;UN    ;3,17;0,00;0,00;15,86;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Creme de cebola;2,00;KG    ;18,52;0,00;0,00;37,04;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Caldo de galinha;4,00;UN    ;14,98;0,00;0,00;59,92;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Molho shoyo;2,00;UN    ;6,71;0,00;0,00;13,42;Secos
02/01/2024;03/01/2024;CDI BARRA PRODUTOS IMP E EXP LTDA;Molho shoyo;4,00;UN    ;5,99;0,00;0,00;23,96;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Molho ingles;3,00;UN    ;2,80;0,00;0,00;8,40;Secos
02/01/2024;02/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Molho ingles;3,00;UN    ;5,24;0,00;0,00;15,72;Secos
03/01/2024;05/01/2024;SITIO SOLIDAO PRODUTOS AGROPECUARIOS LTD;Minas Solidao c sal;10,00;KG    ;33,00;0,00;0,00;330,00;Embalados
03/01/2024;05/01/2024;SITIO SOLIDAO PRODUTOS AGROPECUARIOS LTD;Minas Solidao 0 lac;3,00;KG    ;37,60;0,00;0,00;112,80;Embalados
03/01/2024;04/01/2024;Ambev;H2o Limao;24,00;FD    ;3,09;2,11;0,00;74,04;Refrigerantes
03/01/2024;04/01/2024;Ambev;H2o Limao;24,00;FD    ;3,09;2,11;0,00;74,04;Refrigerantes
03/01/2024;04/01/2024;Ambev;Guarana Ant Zer 2L;12,00;FD    ;5,41;1,84;0,00;64,96;Refrigerantes
03/01/2024;04/01/2024;Ambev;Guarana ant 350;36,00;FD    ;2,26;2,31;0,00;81,34;Refrigerantes
03/01/2024;04/01/2024;Ambev;Guarana Comum Ant 2L;12,00;FD    ;5,41;1,84;0,00;64,96;Refrigerantes
03/01/2024;04/01/2024;Ambev;Guaraná Zero 350ml;36,00;FD    ;2,26;2,31;0,00;81,34;Refrigerantes
03/01/2024;04/01/2024;Ambev;tonica zero 350ml;12,00;UN    ;2,21;0,76;0,00;26,46;Refrigerantes
03/01/2024;04/01/2024;GOOD KARMA GRANOLA EIRELI - ME;granola salgada 270g;3,00;UN    ;22,34;0,00;0,00;67,02;Geleias e conservas
03/01/2024;04/01/2024;GOOD KARMA GRANOLA EIRELI - ME;granola de amaranto ;4,00;UN    ;22,34;0,00;0,00;89,36;Geleias e conservas
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Oleo soja;3,00;CX    ;132,00;0,00;0,00;396,00;Secos
03/01/2024;04/01/2024;DF&M ALIMENTOS LTDA;Farinha Extra Clara;5,00;SC    ;100,99;0,00;0,00;504,95;Secos
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Abobrinha italiana;2,00;KG    ;4,50;0,00;0,00;9,00;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Abobrinha italiana;4,00;KG    ;4,50;0,00;0,00;18,00;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Alface crespa;6,00;UN    ;2,10;0,00;0,00;12,60;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Alface americana;15,00;UN    ;2,99;0,00;0,00;44,85;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Alho poro;16,00;KG    ;2,50;0,00;0,00;40,00;Hortifruti
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Aveia flocos grossa;2,00;UN    ;10,50;0,00;0,00;21,00;Secos
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Salsa lisa;2,00;MC    ;3,49;0,00;0,00;6,98;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Rucula;21,00;MC    ;2,50;0,00;0,00;52,50;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Salvia;2,00;MC    ;2,75;0,00;0,00;5,50;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Alho descascado;2,00;KG    ;15,90;0,00;0,00;31,80;Hortifruti
03/01/2024;04/01/2024;V M COMERCIO E DISTRIBUIDORA DE ALHO LTD;Alho descascado;10,00;KG    ;18,00;0,00;0,00;180,00;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Brocolis americano;10,00;UN    ;7,99;0,00;0,00;79,90;Hortifruti
03/01/2024;04/01/2024;NOBREDO COMERCIO E LOGISTICA LTDA;Suco misto green Peo;2,00;UN    ;33,93;0,39;0,00;67,85;Sucos Embalados
03/01/2024;04/01/2024;NOBREDO COMERCIO E LOGISTICA LTDA;Suco misto green Peo;1,00;UN    ;36,58;0,21;0,00;36,58;Sucos Embalados
03/01/2024;04/01/2024;NOBREDO COMERCIO E LOGISTICA LTDA;Suco dTox Green Peop;1,00;UN    ;87,21;0,51;0,00;87,21;Sucos Embalados
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Coentro;3,00;MC    ;2,00;0,00;0,00;6,00;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Couve manteiga;18,00;MC    ;1,60;0,00;0,00;28,80;Hortifruti
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Espinafre;5,00;MC    ;27,30;0,00;0,00;136,50;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Hortela;4,00;MC    ;1,45;0,00;0,00;5,80;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Manjericao;2,00;MC    ;2,85;0,00;0,00;5,70;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Ovo Branco Extra;2,00;CX    ;135,00;0,00;0,00;270,00;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Batata asterix;40,00;KG    ;6,99;0,00;0,00;279,60;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Batata calabresa;15,00;KG    ;6,95;0,00;0,00;104,25;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Berinjela;3,00;KG    ;3,99;0,00;0,00;11,97;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Beterraba;2,00;KG    ;2,99;0,00;0,00;5,98;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;1,00;KG    ;5,50;0,00;0,00;5,50;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;2,00;KG    ;5,50;0,00;0,00;11,00;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Cenoura;4,00;KG    ;5,50;0,00;0,00;22,00;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Chuchu;6,00;KG    ;4,50;0,00;0,00;27,00;Hortifruti
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Ervilha congelada;5,00;CX    ;29,90;0,00;0,00;149,50;Refrigerados
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Tomate cereja;3,00;BJ    ;4,50;0,00;0,00;13,50;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Pepino japones;2,00;KG    ;4,99;0,00;0,00;9,98;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Limao taiti;3,00;SC    ;3,99;0,00;0,00;11,97;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Tomate salada;1,00;KG    ;7,99;0,00;0,00;7,99;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Tomate salada;5,00;KG    ;7,99;0,00;0,00;39,95;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Vagem francesa;8,00;UN    ;4,50;0,00;0,00;36,00;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Abacate;3,50;UN    ;6,50;0,00;0,00;22,75;Hortifruti
03/01/2024;04/01/2024;Hortifruti Genesis Ltda;Abacaxi;4,00;UN    ;8,50;0,00;0,00;34,00;Hortifruti
03/01/2024;03/01/2024;Frescatto;Salmao Inteiro Fresc;34,25;KG    ;39,90;0,00;0,00;1.366,58;Proteinas
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Champgnom fatiado;2,00;KG    ;21,90;0,00;0,00;43,80;Secos
03/01/2024;03/01/2024;IRMAOS CORAGEM DO HUMAITA COM DE ALIMENT;Carne seca;10,00;KG    ;35,90;0,00;0,00;359,00;Proteinas
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Sal refinado;20,00;FD    ;2,40;0,00;0,00;48,00;Secos
03/01/2024;04/01/2024;RIO QUALITY COMERCIO DE ALIMENTOS LTDA;Leite de coco;12,00;UN    ;19,90;0,00;0,00;238,80;Secos
03/01/2024;05/01/2024;MINALBA ALIMENTOS E BEBIDAS LTDA;Agua;3,00;L     ;13,55;0,00;0,00;40,65;Secos
03/01/2024;05/01/2024;MINALBA ALIMENTOS E BEBIDAS LTDA;Agua;5,00;L     ;10,85;0,00;0,00;54,25;Secos
03/01/2024;04/01/2024;DF&M ALIMENTOS LTDA;Farinha de trigo;2,00;FD    ;109,13;0,00;0,00;218,26;Secos
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Morango;8,00;CX    ;50,00;0,00;0,00;400,00;Hortifruti
03/01/2024;04/01/2024;UMEHARA ALIMENTOS LTDA;Morango;2,00;CX    ;50,00;0,00;0,00;100,00;Hortifruti
03/01/2024;05/01/2024;L. C. M. PRODUTOS E EQUIPAMENTOS DE LIMP;Papel toalha;4,00;CX    ;169,80;0,00;0,00;679,20;Descartaveis
